,old-man-sea-words
0,winner
1,take
2,nothing
3,ernest
4,hemingway
5,unlike
6,forms
7,lutte
8,combat
9,conditions
10,shall
11,neither
12,ease
13,pleasure
14,notions
15,glory
16,win
17,far
18,enough
19,reward
20,within
21,gambler
22,nun
23,radio
24,first
25,published
26,title
27,give
28,us
29,prescription
30,doctor
31,macleish
32,contents
33,storm
34,clean
35,well-lighted
36,place
37,light
38,world
39,god
40,rest
41,merry
42,gentlemen
43,sea
44,change
45,way
46,never
47,mother
48,queen
49,one
50,reader
51,writes
52,homage
53,switzerland
54,day
55,wait
56,natural
57,history
58,dead
59,wine
60,wyoming
61,fathers
62,sons
63,n't
64,anything
65,something
66,making
67,punch
68,started
69,fighting
70,slipped
71,kneeling
72,chest
73,choking
74,hands
75,like
76,trying
77,kill
78,time
79,get
80,knife
81,pocket
82,cut
83,loose
84,everybody
85,drunk
86,pull
87,hammering
88,head
89,floor
90,got
91,opened
92,muscle
93,right
94,across
95,arm
96,let
97,go
98,could
99,held
100,wanted
101,rolled
102,hung
103,onto
104,cry
105,said
106,hell
107,want
108,choke
109,killed
110,swallow
111,week
112,hurt
113,throat
114,bad
115,well
116,went
117,plenty
118,come
119,made
120,turn
121,docks
122,met
123,fellow
124,somebody
125,man
126,street
127,know
128,dark
129,water
130,standing
131,lights
132,windows
133,broke
134,boats
135,town
136,trees
137,blown
138,everything
139,skiff
140,found
141,boat
142,inside
143,mango
144,key
145,full
146,bailed
147,pumped
148,moon
149,clouds
150,still
151,rough
152,took
153,along
154,daylight
155,eastern
156,harbor
157,brother
158,saw
159,white
160,lye
161,barrel
162,coming
163,sou'west
164,recognize
165,shore
166,big
167,channel
168,middle
169,beach
170,chalk
171,branches
172,whole
173,birds
174,floating
175,keys
176,pelicans
177,kinds
178,flying
179,must
180,gone
181,knew
182,lay
183,nobody
184,came
185,seen
186,spar
187,wreck
188,look
189,three-masted
190,schooner
191,see
192,stumps
193,spars
194,deep
195,looking
196,else
197,start
198,ought
199,whatever
200,sand-bars
201,left
202,find
203,long
204,toward
205,quicksands
206,sight
207,rebecca
208,headed
209,cloud
210,looked
211,close
212,air
213,stayed
214,around
215,clear
216,kind
217,sticking
218,shadow
219,liner
220,lying
221,drifted
222,side
223,stern
224,port
225,holes
226,shut
227,tight
228,glass
229,shine
230,biggest
231,ever
232,life
233,laying
234,length
235,anchored
236,deck
237,forward
238,shoved
239,sculled
240,use
241,sponging
242,hand
243,shook
244,hardly
245,hold
246,going
247,near
248,bottom
249,open
250,pieces
251,things
252,tell
253,many
254,crazy
255,yelling
256,sharp
257,rounded
258,mile
259,bank
260,sand
261,sort
262,foremast
263,tackle
264,slanted
265,bow
266,stand
267,letters
268,name
269,nearest
270,hole
271,twelve
272,feet
273,reach
274,grains
275,pole
276,tried
277,break
278,stout
279,back
280,wrench
281,lashed
282,end
283,five
284,million
285,dollars
286,worth
287,shaky
288,think
289,much
290,closest
291,make
292,good
293,clothes
294,stood
295,couple
296,breaths
297,dove
298,swam
299,second
300,edge
301,woman
302,hair
303,plain
304,hit
305,twice
306,hard
307,heard
308,noise
309,clink
310,ears
311,would
312,dinghy
313,breath
314,climbed
315,fingers
316,floated
317,tied
318,rings
319,even
320,crack
321,thought
322,top
323,breathe
324,cracked
325,nose
326,bleeding
327,bare
328,rested
329,pulled
330,sat
331,waiting
332,stop
333,aching
334,bled
335,wash
336,quit
337,another
338,try
339,heavier
340,thing
341,sponge
342,hook
343,clearer
344,sharks
345,shark
346,away
347,grapple
348,anchor
349,overboard
350,carried
351,past
352,grabbed
353,sliding
354,curved
355,bump
356,seemed
357,year
358,tide
359,glad
360,tired
361,felt
362,getting
363,afternoon
364,diving
365,unless
366,hammer
367,heavy
368,watched
369,pounded
370,hammered
371,quicksand
372,lost
373,aboard
374,sun
375,pretty
376,low
377,pulling
378,leaving
379,towing
380,ahead
381,behind
382,night
383,blow
384,blew
385,told
386,except
387,put
388,hundred
389,dollar
390,bond
391,friends
392,mine
393,swore
394,ax
395,greeks
396,cleaned
397,safe
398,dynamite
399,knows
400,gold
401,stripped
402,nickel
403,say
404,outside
405,havana
406,hurricane
407,owners
408,captain
409,chance
410,running
411,gulf
412,tortugas
413,struck
